Table of upregulated genes,,,,,,,Table of gene symbols and names for upregulated genes,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1.,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,
-2.98539995,4.966305772,-12.30873169,0.000000003345021321,0.00000866736488,11.20551163,209470_s_at,,8,209470_s_at,GPM6A,2823,glycoprotein M6A,human
-2.254120597,6.187726116,-12.00459951,0.000000004700859521,0.00001028077977,10.9065434,205498_at,,9,205498_at,GHR,2690,growth hormone receptor,human
-4.523502084,7.942049648,-11.94902068,0.000000005006301229,0.00001052767383,10.85098831,205413_at,,10,205413_at,MPPED2,744,metallophosphoesterase domain containing 2,human
-2.358823054,6.795760396,-11.43194487,0.000000009098982838,0.00001658289622,10.3200511,216944_s_at,,11,216944_s_at,ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",human
-2.41732089,5.131207749,-11.30485043,0.00000001057370662,0.00001806616904,10.18555226,214745_at,,12,214745_at,PLCH1,23007,phospholipase C eta 1,human
-1.624119236,7.793146673,-11.24970491,0.00000001129057284,0.00001870642637,10.12669035,213103_at,,13,213103_at,STARD13,90627,StAR related lipid transfer domain containing 13,human
-2.5710816,6.603823377,-11.01031704,0.00000001505561931,0.00002192479193,9.867579509,209469_at,,14,209469_at,GPM6A,2823,glycoprotein M6A,human
-2.276556964,6.976489269,-10.82904464,0.0000000187839425,0.00002496701868,9.667419827,205876_at,,15,205876_at,LIFR,3977,LIF receptor subunit alpha,human
-2.294343986,7.174732287,-10.79299669,0.00000001963569828,0.00002496701868,9.62720291,205221_at,,16,205221_at,HGD,3081,"homogentisate 1,2-dioxygenase",human
-3.718365669,7.92184471,-10.10783761,0.00000004666830982,0.00004324728541,8.835861628,204623_at,,17,204623_at,TFF3,7033,trefoil factor 3,human
-2.610367637,6.798862915,-9.771362528,0.00000007258671245,0.00005923400751,8.427753399,207981_s_at,,18,207981_s_at,ESRRG,2104,estrogen related receptor gamma,human
-2.342097963,8.016397739,-9.673605735,0.00000008270291163,0.00006553306802,8.306679156,201843_s_at,,19,201843_s_at,EFEMP1,2202,EGF containing fibulin extracellular matrix protein 1,human
-3.027636777,6.866762326,-9.579890306,0.00000009380871276,0.00007065243839,8.189530937,220203_at,,20,220203_at,BMP8A,353500,bone morphogenetic protein 8a,human
-4.469427006,8.375240009,-9.497346054,0.0000001048990023,0.00007546517041,8.08546354,210342_s_at,,21,210342_s_at,TPO,7173,thyroid peroxidase,human
-3.769182491,6.03682654,-9.156815199,0.0000001676080922,0.0001031043794,7.647231296,209613_s_at,,22,209613_s_at,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",human
-3.077222512,4.607851474,-9.098451368,0.0000001818546232,0.0001069129196,7.570658697,219643_at,,23,219643_at,LRP1B,53353,LDL receptor related protein 1B,human
-4.259778898,6.063649356,-8.96968126,0.000000218007528,0.0001203996121,7.40017181,206457_s_at,,24,206457_s_at,DIO1,1733,iodothyronine deiodinase 1,human
-3.073690467,7.20686504,-8.85135316,0.000000257954263,0.0001343204698,7.241619565,211276_at,,25,211276_at,TCEAL2,140597,transcription elongation factor A like 2,human
-2.366805284,4.546929369,-8.798639525,0.0000002781738712,0.0001408255223,7.170397991,220724_at,,26,220724_at,CWH43,80157,cell wall biogenesis 43 C-terminal homolog,human
-1.850204103,9.43534293,-8.739617754,0.0000003028134865,0.0001518929117,7.09021975,201842_s_at,,27,201842_s_at,EFEMP1,2202,EGF containing fibulin extracellular matrix protein 1,human
-1.799777611,6.439440031,-8.711639572,0.0000003152884579,0.0001550655035,7.052051935,219077_s_at,,28,219077_s_at,WWOX,51741,WW domain containing oxidoreductase,human
-2.858965948,6.054386997,-8.710899008,0.0000003156259386,0.0001550655035,7.051040249,206806_at,,29,206806_at,DGKI,9162,diacylglycerol kinase iota,human
-2.055713067,4.654719136,-8.502558944,0.0000004275413929,0.0001855224259,6.763519505,205083_at,,30,205083_at,AOX1,316,aldehyde oxidase 1,human
-1.637889379,5.463117905,-8.432859221,0.0000004737689134,0.0001977352316,6.666025626,221016_s_at,,31,221016_s_at,TCF7L1,83439,transcription factor 7 like 1,human
-2.836632244,6.625946505,-8.302379607,0.000000575057926,0.0002261963461,6.481734884,219877_at,,32,219877_at,ZMAT4,79698,zinc finger matrin-type 4,human
-1.675949349,8.430948387,-7.948372045,0.0000009829298084,0.0003218065106,5.969857382,209242_at,,33,209242_at,PEG3,5178,paternally expressed 3,human
-1.548428916,6.702833874,-7.873278958,0.000001103497402,0.0003507774446,5.859011588,213839_at,,34,213839_at,CLMN,79789,calmin,human
-1.807109339,5.804180801,-7.839899201,0.000001161999881,0.0003609792243,5.80948179,213679_at,,35,213679_at,TTC30A,92104,tetratricopeptide repeat domain 30A,human
-4.214785391,7.399121676,-7.831246194,0.00000117769212,0.0003637870998,5.796616277,205350_at,,36,205350_at,CRABP1,1381,cellular retinoic acid binding protein 1,human
-2.061022933,7.514437397,-7.795297462,0.000001245312588,0.000376173844,5.743052189,205382_s_at,,37,205382_s_at,CFD,1675,complement factor D,human
-2.387214912,5.562583518,-7.608377248,0.000001669172081,0.0004451804075,5.461545283,203766_s_at,,38,203766_s_at,LMOD1,25802,leiomodin 1,human
-2.553783805,7.125185354,-7.562651445,0.000001794399354,0.000463012434,5.391912011,203060_s_at,,39,203060_s_at,PAPSS2,9060,3'-phosphoadenosine 5'-phosphosulfate synthase 2,human
-1.13396897,6.908092774,-7.515893705,0.000001932712972,0.0004803230989,5.320392807,203221_at,,40,203221_at,TLE1,7088,"TLE family member 1, transcriptional corepressor",human
-1.861691343,7.215448044,-7.412080739,0.000002281426731,0.0005447030852,5.160462564,204151_x_at,,41,204151_x_at,AKR1C1,1645,aldo-keto reductase family 1 member C1,human
-2.418691277,6.956255142,-7.382856416,0.000002391092342,0.0005635041974,5.115155899,219093_at,,42,219093_at,PID1,55022,phosphotyrosine interaction domain containing 1,human
-1.891161328,4.377183646,-7.348225145,0.000002528258733,0.0005882236009,5.061304315,209612_s_at,,43,209612_s_at,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",human
-2.722361631,6.426498013,-7.31156496,0.000002682504695,0.0006136650385,5.0041054,204755_x_at,,44,204755_x_at,HLF,3131,"HLF transcription factor, PAR bZIP family member",human
-1.901490855,5.410454836,-7.185251596,0.000003294168261,0.0007140680297,4.805505303,213068_at,,45,213068_at,DPT,1805,dermatopontin,human
-2.498558292,6.747785856,-7.183384404,0.000003304237979,0.0007140680297,4.802551833,205051_s_at,,46,205051_s_at,KIT,3815,"KIT proto-oncogene, receptor tyrosine kinase",human
-2.081368782,4.296645962,-7.164750199,0.000003406520264,0.0007332736041,4.773048452,214930_at,,47,214930_at,SLITRK5,26050,SLIT and NTRK like family member 5,human
-1.187295892,9.266461593,-7.133285361,0.000003586843369,0.0007571840202,4.723113399,202908_at,,48,202908_at,WFS1,7466,wolframin ER transmembrane glycoprotein,human
-1.002974345,4.469559868,-7.122643142,0.000003650077863,0.0007640009091,4.706190779,206043_s_at,,49,206043_s_at,ATP2C2,9914,ATPase secretory pathway Ca2+ transporting 2,human
-2.68735602,4.85149836,-7.081642904,0.000003904844115,0.0008045561787,4.640837154,208399_s_at,,50,208399_s_at,EDN3,1908,endothelin 3,human
-3.086979231,9.17658352,-7.069854784,0.000003981496801,0.0008153121259,4.622000783,206529_x_at,,51,206529_x_at,SLC26A4,5172,solute carrier family 26 member 4,human
-1.30798197,9.47147678,-7.039162676,0.000004188572549,0.0008419492799,4.572860355,217853_at,,52,217853_at,TNS3,64759,tensin 3,human
-2.786735651,5.256502441,-7.02432439,0.000004292707197,0.0008558816436,4.54905274,220204_s_at,,53,220204_s_at,BMP8A,353500,bone morphogenetic protein 8a,human
-2.281264418,7.164235112,-7.022619345,0.000004304845944,0.0008558816436,4.546314938,203911_at,,54,203911_at,RAP1GAP,5909,RAP1 GTPase activating protein,human
-1.934715129,9.499624798,-7.012493665,0.000004377679545,0.0008672088011,4.530047129,210524_x_at,,,210524_x_at,MT1F,,,
-2.052203061,6.668131636,-6.997655852,0.000004486750739,0.0008767304847,4.506181208,209699_x_at,,55,209699_x_at,AKR1C2,1646,aldo-keto reductase family 1 member C2,human
-2.352498843,5.698959261,-6.996189226,0.00000449768547,0.0008767304847,4.503820425,206517_at,,56,206517_at,CDH16,1014,cadherin 16,human
-1.732389659,4.582774303,-6.940338505,0.000004935597164,0.0009353849693,4.413679981,214308_s_at,,57,214308_s_at,HGD,3081,"homogentisate 1,2-dioxygenase",human
-1.848873813,4.927120098,-6.939289352,0.000004944238795,0.0009353849693,4.411982235,217127_at,,58,217127_at,CTH,1491,cystathionine gamma-lyase,human
-1.468800004,5.42557527,-6.908251315,0.000005207202835,0.0009670026273,4.361681745,213308_at,,59,213308_at,SHANK2,22941,SH3 and multiple ankyrin repeat domains 2,human
-1.972266981,4.933604265,-6.81571643,0.000006081851436,0.001093832984,4.210862551,204513_s_at,,60,204513_s_at,ELMO1,9844,engulfment and cell motility 1,human
-1.736304289,4.705113608,-6.793030152,0.000006318945472,0.001110894996,4.173691054,205501_at,,61,205501_at,PDE10A,10846,phosphodiesterase 10A,human
-2.144768141,9.905819013,-6.706059516,0.00000732147262,0.001231696971,4.030473777,213629_x_at,,62,213629_x_at,MT1F,4494,metallothionein 1F,human
-1.863369538,5.988005387,-6.684542712,0.000007594338752,0.001265916071,3.994866096,210471_s_at,,63,210471_s_at,KCNAB1,7881,potassium voltage-gated channel subfamily A member regulatory beta subunit 1,human
-1.817622048,5.41561336,-6.578535768,0.000009102996884,0.001446820798,3.818422009,210473_s_at,,64,210473_s_at,ADGRA3,166647,adhesion G protein-coupled receptor A3,human
-1.739435429,5.970834886,-6.431394599,0.00001173612678,0.001684180399,3.570714053,204288_s_at,,65,204288_s_at,SORBS2,8470,sorbin and SH3 domain containing 2,human
-1.868225728,6.525247419,-6.387664674,0.00001266388657,0.001772824766,3.49646969,204042_at,,66,204042_at,WASF3,10810,WASP family member 3,human
-1.852592185,9.169849819,-6.298047506,0.0000148128686,0.001999737261,3.343423359,219049_at,,67,219049_at,CSGALNACT1,55790,chondroitin sulfate N-acetylgalactosaminyltransferase 1,human
-1.808624527,7.787246778,-6.272207577,0.00001550087534,0.002054713553,3.299071398,212224_at,,68,212224_at,ALDH1A1,216,aldehyde dehydrogenase 1 family member A1,human
-1.833606797,6.431735398,-6.221066813,0.00001696277555,0.002197724534,3.210999015,213258_at,,69,213258_at,TFPI,7035,tissue factor pathway inhibitor,human
-1.772334468,10.04379707,-6.16131401,0.00001885503569,0.002386340454,3.107601892,203240_at,,70,203240_at,FCGBP,8857,Fc fragment of IgG binding protein,human
-1.806834352,7.200698289,-6.138165746,0.00001964618885,0.002458021454,3.067403198,203387_s_at,,71,203387_s_at,TBC1D4,9882,TBC1 domain family member 4,human
-2.816580362,7.343143475,-6.063584147,0.00002243937098,0.00271431993,2.937346657,210299_s_at,,72,210299_s_at,FHL1,2273,four and a half LIM domains 1,human
-3.015731905,7.778860207,-6.043535173,0.0000232587847,0.002782656572,2.902244734,203980_at,,73,203980_at,FABP4,2167,fatty acid binding protein 4,human
-1.101384253,7.676908385,-6.035311988,0.00002360384107,0.00281163401,2.887830368,208228_s_at,,74,208228_s_at,FGFR2,2263,fibroblast growth factor receptor 2,human
-2.331081886,7.001376556,-5.991831066,0.00002551923103,0.003000567648,2.811447483,207980_s_at,,75,207980_s_at,CITED2,10370,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,human
-1.586860387,7.675695608,-5.982961252,0.00002592947621,0.003016479784,2.795831768,211596_s_at,,76,211596_s_at,LRIG1,26018,leucine rich repeats and immunoglobulin like domains 1,human
-1.495482863,7.340231447,-5.981759476,0.00002598558716,0.003016479784,2.793715098,209325_s_at,,77,209325_s_at,RGS16,6004,regulator of G protein signaling 16,human
-2.9948618,7.015406468,-5.960431964,0.00002700270505,0.003075776872,2.756116047,213071_at,,78,213071_at,DPT,1805,dermatopontin,human
-1.020931698,7.968596112,-5.922462156,0.00002891750376,0.00320702742,2.689012902,203960_s_at,,79,203960_s_at,HSPB11,51668,heat shock protein family B (small) member 11,human
-2.521785038,6.424537604,-5.912212068,0.00002945829466,0.003260389192,2.670862066,205357_s_at,,80,205357_s_at,AGTR1,185,angiotensin II receptor type 1,human
-2.127475957,7.246965049,-5.911012339,0.00002952227729,0.003260869719,2.668736586,218332_at,,81,218332_at,BEX1,55859,brain expressed X-linked 1,human
-1.579162792,9.613744992,-5.870052088,0.00003179588659,0.003431161107,2.596044333,204686_at,,82,204686_at,IRS1,3667,insulin receptor substrate 1,human
-2.025990081,5.493250344,-5.867458426,0.00003194586005,0.003436875827,2.591433143,204753_s_at,,83,204753_s_at,HLF,3131,"HLF transcription factor, PAR bZIP family member",human
-1.76958078,6.127540746,-5.862943655,0.0000322086779,0.00344117789,2.583404146,212843_at,,84,212843_at,NCAM1,4684,neural cell adhesion molecule 1,human
-1.235784049,7.225780707,-5.795695569,0.00003640136562,0.00380543913,2.463461918,219277_s_at,,85,219277_s_at,OGDHL,55753,oxoglutarate dehydrogenase L,human
-1.52932211,9.526446861,-5.758209116,0.0000389815191,0.003954201404,2.396318899,214433_s_at,,86,214433_s_at,SELENBP1,8991,selenium binding protein 1,human
-1.959942303,8.475228481,-5.730088592,0.00004104153472,0.004124900571,2.345819184,214505_s_at,,87,214505_s_at,FHL1,2273,four and a half LIM domains 1,human
-2.14026465,8.569034636,-5.697309766,0.00004358651284,0.00427844271,2.286811434,218858_at,,88,218858_at,DEPTOR,64798,DEP domain containing MTOR interacting protein,human
-1.055727176,4.158762159,-5.645287899,0.00004796774539,0.004523566178,2.192849468,204836_at,,89,204836_at,GLDC,2731,glycine decarboxylase,human
-1.466150285,5.461437879,-5.626214818,0.0000496866922,0.00463587013,2.15830383,211653_x_at,,90,211653_x_at,AKR1C2,1646,aldo-keto reductase family 1 member C2,human
-1.624394025,8.852098946,-5.591772658,0.00005295488807,0.004809482567,2.095791802,49452_at,,91,49452_at,ACACB,32,acetyl-CoA carboxylase beta,human
-2.972182915,8.427911224,-5.549214723,0.00005730422104,0.005077893076,2.018320681,219195_at,,92,219195_at,PPARGC1A,10891,PPARG coactivator 1 alpha,human
-1.888991054,6.135052094,-5.533595471,0.00005899217132,0.005135982431,1.989824701,220751_s_at,,93,220751_s_at,FAXDC2,10826,fatty acid hydroxylase domain containing 2,human
-2.587169007,5.505158061,-5.499224041,0.00006289101034,0.005314630588,1.926998177,222171_s_at,,94,222171_s_at,PKNOX2,63876,PBX/knotted 1 homeobox 2,human
-1.304211292,6.396260701,-5.479479696,0.00006525075744,0.005446694905,1.890834509,210298_x_at,,95,210298_x_at,FHL1,2273,four and a half LIM domains 1,human
-2.801813928,5.950058624,-5.455362058,0.00006825842833,0.005586870613,1.846588281,204932_at,,96,204932_at,TNFRSF11B,4982,TNF receptor superfamily member 11b,human
-1.471177373,10.16734183,-5.421744513,0.00007269283987,0.005879409793,1.784781277,203386_at,,97,203386_at,TBC1D4,9882,TBC1 domain family member 4,human
-2.524337703,6.215851073,-5.415782929,0.00007350991521,0.005927956658,1.773804697,214414_x_at,,98,214414_x_at,HBA2,3040,hemoglobin subunit alpha 2,human
,,,,,,,,99,214414_x_at,HBA1,3039,hemoglobin subunit alpha 1,human
-2.146617968,6.714900281,-5.401074735,0.00007556678035,0.006066980493,1.746703156,209447_at,,100,209447_at,SYNE1,23345,spectrin repeat containing nuclear envelope protein 1,human
-1.551230755,5.969393278,-5.384135103,0.00007800986002,0.006217476817,1.715453816,203058_s_at,,101,203058_s_at,PAPSS2,9060,3'-phosphoadenosine 5'-phosphosulfate synthase 2,human
-1.492532499,4.811235068,-5.377898962,0.00007892975853,0.00627781387,1.703940001,206209_s_at,,102,206209_s_at,CA4,762,carbonic anhydrase 4,human
-1.891106237,9.829692453,-5.359749939,0.00008167148929,0.006415788329,1.670401747,217165_x_at,,103,217165_x_at,MT1F,4494,metallothionein 1F,human
-1.482796991,8.896443978,-5.345783173,0.00008384854806,0.006521222425,1.644562096,203638_s_at,,104,203638_s_at,FGFR2,2263,fibroblast growth factor receptor 2,human
-1.922425072,6.902336741,-5.344587379,0.00008403771629,0.006526650764,1.642348571,219778_at,,105,219778_at,ZFPM2,23414,"zinc finger protein, FOG family member 2",human
-1.494785405,8.655790036,-5.283279972,0.00009435376945,0.007155051796,1.528609462,204872_at,,106,204872_at,TLE4,7091,"TLE family member 4, transcriptional corepressor",human
-1.958152248,8.050697397,-5.261673534,0.00009829499526,0.007341911019,1.488406957,205710_at,,107,205710_at,LRP2,4036,LDL receptor related protein 2,human
-1.806289919,10.65253706,-5.231005782,0.0001041841332,0.007618913325,1.431240083,201540_at,,108,201540_at,FHL1,2273,four and a half LIM domains 1,human
-1.162929295,7.491636398,-5.227953117,0.0001047899991,0.007639190933,1.42554304,204917_s_at,,109,204917_s_at,MLLT3,4300,MLLT3 super elongation complex subunit,human
-1.386168147,8.804480374,-5.186352796,0.0001134198007,0.007999690642,1.347787074,203685_at,,110,203685_at,BCL2,596,BCL2 apoptosis regulator,human
-1.859657707,8.281611485,-5.140937952,0.0001236853202,0.008444961526,1.26264988,211696_x_at,,111,211696_x_at,HBB,3043,hemoglobin subunit beta,human
-1.374235694,10.96489622,-5.138772829,0.0001241980932,0.008456451741,1.258584525,218559_s_at,,112,218559_s_at,MAFB,9935,MAF bZIP transcription factor B,human
-1.132073622,9.522699889,-5.134708843,0.0001251665257,0.008490669715,1.250952178,212110_at,,113,212110_at,SLC39A14,23516,solute carrier family 39 member 14,human
-1.58185298,4.884689908,-5.098706986,0.0001340943183,0.008831779419,1.183249086,209822_s_at,,114,209822_s_at,VLDLR,7436,very low density lipoprotein receptor,human
-1.632887171,8.496926409,-5.098166115,0.0001342333552,0.008831779419,1.182230727,206070_s_at,,115,206070_s_at,EPHA3,2042,EPH receptor A3,human
-1.142394093,7.714774696,-5.0763488,0.0001399678253,0.009143059557,1.141122713,219317_at,,116,219317_at,POLI,11201,DNA polymerase iota,human
-1.440795631,7.016250123,-5.008137237,0.0001595857338,0.01012221577,1.012224468,209737_at,,117,209737_at,MAGI2,9863,"membrane associated guanylate kinase, WW and PDZ domain containing 2",human
-2.372588812,6.84920483,-4.910791607,0.000192626416,0.01157967021,0.8273129319,203474_at,,118,203474_at,IQGAP2,10788,IQ motif containing GTPase activating protein 2,human
-1.25309259,9.222290408,-4.811035948,0.0002338657476,0.01319567569,0.6366977589,213129_s_at,,119,213129_s_at,GCSH,2653,glycine cleavage system protein H,human
-1.98968291,7.756609067,-4.779066127,0.0002489276572,0.01384549304,0.5753769459,202920_at,,120,202920_at,ANK2,287,ankyrin 2,human
-1.396704321,3.583610795,-4.736632061,0.0002704766454,0.01475802629,0.4938161548,205612_at,,121,205612_at,MMRN1,22915,multimerin 1,human
-1.427500684,6.09857464,-4.723188074,0.0002776972195,0.0150327678,0.4679365641,211745_x_at,,122,211745_x_at,HBA2,3040,hemoglobin subunit alpha 2,human
,,,,,,,,123,211745_x_at,HBA1,3039,hemoglobin subunit alpha 1,human
-1.173252792,7.52808401,-4.679831647,0.000302363934,0.01606583877,0.384348995,213133_s_at,,124,213133_s_at,GCSH,2653,glycine cleavage system protein H,human
-1.592581195,7.944307038,-4.63842814,0.0003280249329,0.01708495754,0.3043497291,217232_x_at,,125,217232_x_at,HBB,3043,hemoglobin subunit beta,human
-2.124788125,6.031942857,-4.55318263,0.0003881446042,0.01913598398,0.1391169972,63305_at,,126,63305_at,PKNOX2,63876,PBX/knotted 1 homeobox 2,human
-1.402485083,7.904079077,-4.527554448,0.0004083479431,0.01977539751,0.08930918818,209687_at,,127,209687_at,CXCL12,6387,C-X-C motif chemokine ligand 12,human
-1.498996274,6.072688042,-4.50560809,0.0004265051898,0.02035521072,0.04661006255,204918_s_at,,128,204918_s_at,MLLT3,4300,MLLT3 super elongation complex subunit,human
-1.94038084,7.722916958,-4.474007252,0.0004541158953,0.02126460661,-0.01494713487,209116_x_at,,129,209116_x_at,HBB,3043,hemoglobin subunit beta,human
-1.173531284,6.466418468,-4.439979546,0.0004859022734,0.02240025869,-0.08132705107,213189_at,,130,213189_at,RIOX2,84864,ribosomal oxygenase 2,human
-1.36228219,7.629466863,-4.428330117,0.0004973008087,0.02277212874,-0.1040744363,206214_at,,131,206214_at,PLA2G7,7941,phospholipase A2 group VII,human
-1.076464725,7.332550174,-4.369214279,0.0005595093339,0.02473013163,-0.2196754187,208454_s_at,,132,208454_s_at,CPQ,10404,carboxypeptidase Q,human
-1.871827773,7.073524543,-4.245809921,0.0007163180003,0.02894655334,-0.4618305627,37512_at,,133,37512_at,HSD17B6,8630,hydroxysteroid 17-beta dehydrogenase 6,human
-1.051871722,6.002627033,-4.176882695,0.0008227760582,0.03163521869,-0.5975261297,217546_at,,134,217546_at,MT1M,4499,metallothionein 1M,human
-1.323825844,9.843886352,-4.162452831,0.0008470328913,0.0323178809,-0.6259696719,206461_x_at,,135,206461_x_at,MT1H,4496,metallothionein 1H,human
-1.499010751,7.385802339,-4.154082235,0.0008614367792,0.03261707472,-0.6424748078,204606_at,,136,204606_at,CCL21,6366,C-C motif chemokine ligand 21,human
-1.552784455,7.801643736,-4.152786751,0.0008636882121,0.03267088354,-0.6450295896,202709_at,,137,202709_at,FMOD,2331,fibromodulin,human
-1.06250182,7.713264995,-4.141943246,0.000882769915,0.03314934416,-0.6664173065,212157_at,,138,212157_at,SDC2,6383,syndecan 2,human
-1.895175332,6.841834314,-4.082576969,0.0009951165986,0.03584534363,-0.7836197138,213664_at,,139,213664_at,SLC1A1,6505,solute carrier family 1 member 1,human
-1.254603557,5.161557413,-4.054937071,0.001052286752,0.03731114018,-0.8382452408,209458_x_at,,140,209458_x_at,HBA2,3040,hemoglobin subunit alpha 2,human
,,,,,,,,141,209458_x_at,HBA1,3039,hemoglobin subunit alpha 1,human
-1.663128598,8.177774892,-4.019515895,0.001130465284,0.03909436393,-0.9082978654,204359_at,,142,204359_at,FLRT2,23768,fibronectin leucine rich transmembrane protein 2,human
-1.170904939,5.368252731,-4.01100144,0.001150122031,0.0396237694,-0.9251445731,217414_x_at,,143,217414_x_at,HBA2,3040,hemoglobin subunit alpha 2,human
,,,,,,,,144,217414_x_at,HBA1,3039,hemoglobin subunit alpha 1,human
-1.348124454,9.743811307,-4.001497805,0.001172472874,0.04011574115,-0.9439517817,203700_s_at,,145,203700_s_at,DIO2,1734,iodothyronine deiodinase 2,human
-1.123416223,10.658816,-3.985697887,0.001210612329,0.04101005518,-0.975226461,209292_at,,146,209292_at,ID4,3400,"inhibitor of DNA binding 4, HLH protein",human
-1.314933605,6.614870807,-3.982213149,0.001219192321,0.04122408174,-0.9821254343,205700_at,,147,205700_at,HSD17B6,8630,hydroxysteroid 17-beta dehydrogenase 6,human
-1.342904238,5.141507991,-3.974307012,0.001238888146,0.04176091823,-0.9977793258,204018_x_at,,148,204018_x_at,HBA2,3040,hemoglobin subunit alpha 2,human
-1.291155787,5.039238993,-3.877499951,0.001507932853,0.04759852384,-1.189607943,211699_x_at,,149,204018_x_at,HBA1,3039,hemoglobin subunit alpha 1,human
,,,,,,,,150,211699_x_at,HBA2,3040,hemoglobin subunit alpha 2,human
,,,,,,,,151,211699_x_at,HBA1,3039,hemoglobin subunit alpha 1,human
-1.086202172,5.693374398,-3.847230991,0.001603666632,0.04948107962,-1.249634596,221556_at,,152,221556_at,CDC14B,8555,cell division cycle 14B,human

UP-genes-Liang-and-Sun,Down-genes-Liang-and-Sun,UP-genes-MR-treat,Down-genes-MR-treat,UP-genes-MR-eBayes,Down-genes-MR-eBayes
CHI3L1,2-Mar,DTX4,IPCEF1,DTX4,IPCEF1
SERPINA1,ACACB,PROS1,ITPR1,PROS1,ITPR1
CITED1,ADGRA3,DPP4,CWH43,DPP4,CWH43
TENM1,ADH1B,SLC34A2,SLC4A4,PSD3,SLC4A4
CLDN1,ALDH1A1,PSD3,MATN2,NPC2,MATN2
SFTPB,ANK2,CITED1,DPP6,SLC34A2,DPP6
TACSTD2,AOX1,CLDN10,HGD,CLDN10,HGD
SLC34A2,BCL2,SERPINA1,GPM6A,CITED1,GPM6A
CYP1B1,BMP8A,ENTPD1,MPPED2,LGALS3,GHR
GDF15,CCL21,LGALS3,GHR,ENTPD1,MPPED2
DPP4,CDH16,NPC2,ITPR1,SERPINA1,ITPR1
DCSTAMP,CFD,FN1,PLCH1,GALE,PLCH1
PDLIM4,CITED2,QPCT,GPM6A,CFI,STARD13
LRP4,CLMN,SERPINA1,LIFR,QPCT,GPM6A
COMP,CPQ,CFI,HGD,CDH3,LIFR
HMGA2,CRABP1,CDH3,STARD13,FN1,HGD
RXRG,CSGALNACT1,AHNAK2,TFF3,MRC2,TFF3
ENTPD1,CTH,FN1,TPO,SERPINA1,ESRRG
ALOX5,CWH43,MRC2,ESRRG,TPD52L1,EFEMP1
SCEL,CXCL12,KLK10,ADH1B,AHNAK2,BMP8A
AHNAK2,DEPTOR,DCSTAMP,DIO1,TGFA,TPO
QPCT,DGKI,TGFA,LRP1B,RAB27A,ADH1B
CST6,DIO1,FN1,DGKI,FN1,LRP1B
CDH3,DIO2,ENTPD1,CWH43,ENTPD1,DIO1
AGR2,DPP6,TPD52L1,ZMAT4,ENTPD1,TCEAL2
KRT19,DPT,GALE,WWOX,KLK10,CWH43
FN1,EDN3,FN1,AOX1,DCSTAMP,EFEMP1
SLC27A6,EFEMP1,ABCC3,CRABP1,CAMK2N1,WWOX
PDZK1IP1,ELMO1,ENTPD1,PAPSS2,FN1,DGKI
TUSC3,EML1,CAMK2N1,PEG3,ABCC3,AOX1
KCNJ2,EPHA3,HMGA2,TTC30A,MXRA8,TCF7L1
PROS1,ESRRG,MXRA8,HLF,FN1,ZMAT4
LAMB3,FABP4,RAB27A,CLMN,P4HA2,PEG3
CAMK2N1,FAXDC2,LAMB3,SLC26A4,LAMB3,CLMN
PLXNC1,FCGBP,MET,KIT,MET,TTC30A
GALE,FGFR2,GGCT,ADH1B,GALNT7,CRABP1
DUSP5,FHL1,DPP4,SLITRK5,GGCT,CFD
DTX4,FMOD,GALNT7,RAP1GAP,HMGA2,LMOD1
PCSK2,GATM,P4HA2,CDH16,TPD52L1,PAPSS2
KLK10,GDF10,FN1,MT1F,DPP4,TLE1
PSD3,GHR,SFTPB,CTH,FN1,AKR1C1
RYR1,GLT8D2,RUNX1,ELMO1,SLC27A6,PID1
SLPI,GNA14,LOC101928269,HGD,KCNN4,ADH1B
TIAM1,GNAI1,LOC100506403,MT1F,LOC101928269,HLF
PDE5A,GPM6A,SFTPB,TLE1,LOC100506403,DPT
ABCC3,GSTM3,KCNJ2,PDE10A,RUNX1,KIT
GABBR2,HGD,KCNN4,SHANK2,SFTPB,SLITRK5
SDC4,ID4,CTSC,TNS3,KCNJ2,WFS1
NRCAM,IMPA2,HEY2,ADGRA3,CTSC,ATP2C2
TGFA,IPCEF1,TENM1,WASF3,SFTPB,EDN3
LCN2,IQGAP2,PSD3,SORBS2,PSD3,SLC26A4
CTSC,IRS1,LRP4,FABP4,HEY2,TNS3
DUSP4,ITPR1,KRT19,FHL1,SPINT1,BMP8A
TMPRSS4,KIAA1324,MUC1,CSGALNACT1,MUC1,RAP1GAP
MET,KIT,GABBR2,ALDH1A1,COL13A1,
